parent_id,candidate_id,reference,candidate,semantically_equivalent_0_1,natural_0_1,notes
test-daily-006,test-daily-006:000,We opened the windows to let some fresh air into the room.,We opened the windows to admit some fresh air into the room.,,,
test-daily-008,test-daily-008:005,I found an extra blanket in the cupboard upstairs.,"Upstairs, I discovered an additional blanket in the cupboard.",,,
test-daily-006,test-daily-006:015,We opened the windows to let some fresh air into the room.,We opened the windows to admit a bit of fresh air inside the space.,,,
test-product-010,test-product-010:030,This stapler can be refilled by opening the top section.,You can refill this stapler by lifting the top portion.,,,
test-daily-006,test-daily-006:031,We opened the windows to let some fresh air into the room.,We opened the windows to allow fresh air inside the room.,,,
test-product-010,test-product-010:001,This stapler can be refilled by opening the top section.,Opening the top section allows you to refill this stapler.,,,
test-product-010,test-product-010:031,This stapler can be refilled by opening the top section.,This stapler allows refilling through its top part.,,,
test-daily-008,test-daily-008:004,I found an extra blanket in the cupboard upstairs.,I discovered an additional blanket nestled within the upper cupboard.,,,
test-product-010,test-product-010:004,This stapler can be refilled by opening the top section.,This stapler is refillable via its top portion.,,,
test-daily-008,test-daily-008:006,I found an extra blanket in the cupboard upstairs.,I discovered an additional blanket in my upper cupboard.,,,
test-product-011,test-product-011:018,The lunch box contains two removable containers.,The lunchbox comprises of two detachable containers.,,,
test-product-011,test-product-011:004,The lunch box contains two removable containers.,The lunch box includes two detachable containers.,,,
test-product-011,test-product-011:030,The lunch box contains two removable containers.,The lunch box holds two detachable containers.,,,
test-daily-008,test-daily-008:019,I found an extra blanket in the cupboard upstairs.,I discovered an additional blanket in the upper cabinet.,,,
test-product-010,test-product-010:010,This stapler can be refilled by opening the top section.,You can refill this stapler by opening its top part.,,,
test-product-010,test-product-010:026,This stapler can be refilled by opening the top section.,You can refill this stapler by unbuttoning the upper segment.,,,
test-product-010,test-product-010:006,This stapler can be refilled by opening the top section.,This stapler can be refilled by opening the upper section.,,,
test-daily-008,test-daily-008:031,I found an extra blanket in the cupboard upstairs.,There was an additional blanket discovered in the upstairs cupboard.,,,
test-product-011,test-product-011:003,The lunch box contains two removable containers.,The lunch box includes two movable containers.,,,
test-daily-008,test-daily-008:009,I found an extra blanket in the cupboard upstairs.,"In the cupboard upstairs, I discovered an extra blanket.",,,
test-daily-006,test-daily-006:002,We opened the windows to let some fresh air into the room.,We opened the windows to allow some fresh air into the room.,,,
test-daily-006,test-daily-006:022,We opened the windows to let some fresh air into the room.,We opened the windows to allow fresh air into the room.,,,
test-product-010,test-product-010:019,This stapler can be refilled by opening the top section.,The stapler can be refilled by opening its top part.,,,
test-daily-008,test-daily-008:001,I found an extra blanket in the cupboard upstairs.,An extra blanket was discovered in the cupboard on the upper floor.,,,
test-product-011,test-product-011:010,The lunch box contains two removable containers.,The lunch box accommodates two detachable containers.,,,
test-daily-006,test-daily-006:019,We opened the windows to let some fresh air into the room.,We opened the windows to allow some fresh air inside the space.,,,
test-product-011,test-product-011:011,The lunch box contains two removable containers.,The lunch box has two removable containers inside.,,,
test-daily-006,test-daily-006:004,We opened the windows to let some fresh air into the room.,We opened the windows to admit some fresh air into the chamber.,,,
test-daily-006,test-daily-006:003,We opened the windows to let some fresh air into the room.,We opened the windows to allow a bit of fresh air into the room.,,,
test-product-011,test-product-011:029,The lunch box contains two removable containers.,Contains two removable containers in the lunch box.,,,
test-daily-008,test-daily-008:013,I found an extra blanket in the cupboard upstairs.,An extra blanket was discovered in the cupboard upstairs.,,,
test-daily-006,test-daily-006:007,We opened the windows to let some fresh air into the room.,We opened the windows to admit a bit of fresh air inside.,,,
test-product-010,test-product-010:016,This stapler can be refilled by opening the top section.,This stapler can be refilled by opening its top part.,,,
test-product-010,test-product-010:028,This stapler can be refilled by opening the top section.,This stapler is refillable by opening its top part.,,,
test-daily-006,test-daily-006:006,We opened the windows to let some fresh air into the room.,We opened the windows to introduce some fresh air into the room.,,,
