parent_id,candidate_id,reference,candidate,semantically_equivalent_0_1,natural_0_1,notes
test-daily-010,test-daily-010:016,They prepared the guest room before their relatives arrived.,They prepared the guest room ahead of their relatives' arrival.,,,
test-daily-013,test-daily-013:009,We took a short break after finishing the first task.,"After completing the first task, we took a short break.",,,
test-product-003,test-product-003:013,The watch strap can be replaced without removing the battery.,The watch strap can be replaced by not removing the battery.,,,
test-product-002,test-product-002:011,The cooking pot has measurement marks on the inside.,The cooking pot features measurements inscribed on its interior surface.,,,
test-product-003,test-product-003:015,The watch strap can be replaced without removing the battery.,You may change the watch strap without taking off the battery.,,,
test-product-010,test-product-010:019,This stapler can be refilled by opening the top section.,The stapler can be refilled by opening its top part.,,,
test-product-001,test-product-001:031,This speaker can play music from a memory card.,This speaker is capable of playing music via a memory card.,,,
test-daily-002,test-daily-002:025,We decided to visit the museum after the rain stopped.,"After the rain ceased, we decided to visit the museum.",,,
test-daily-002,test-daily-002:006,We decided to visit the museum after the rain stopped.,We selected to explore the museum once the rain ceased.,,,
test-product-008,test-product-008:001,The shelf includes the screws needed for assembly.,"For assembly, the shelf contains screws necessary.",,,
test-daily-006,test-daily-006:022,We opened the windows to let some fresh air into the room.,We opened the windows to allow fresh air into the room.,,,
test-product-012,test-product-012:001,The mirror can stand on a table or hang on a wall.,A mirror can be placed either on a table or hung from a wall.,,,
test-product-010,test-product-010:028,This stapler can be refilled by opening the top section.,This stapler is refillable by opening its top part.,,,
test-product-007,test-product-007:004,This ruler shows measurements in both centimeters and inches.,This ruler displays dimensions in both centimeters and inches.,,,
test-product-008,test-product-008:003,The shelf includes the screws needed for assembly.,The shelf contains the required screws for assembly.,,,
test-product-000,test-product-000:003,The suitcase has four wheels and an extendable handle.,The suitcase features four wheels and a telescopic handle.,,,
test-daily-006,test-daily-006:025,We opened the windows to let some fresh air into the room.,"To let some fresh air into the room, we opened the windows.",,,
test-product-012,test-product-012:010,The mirror can stand on a table or hang on a wall.,The mirror can be placed either on a tabletop or hung on a wall.,,,
test-product-009,test-product-009:016,The camera bag has a padded divider in its main compartment.,The camera bag features a padded divider within its primary section.,,,
test-daily-009,test-daily-009:025,The footpath follows the river for about two kilometers.,"For approximately two kilometers, the footpath follows the river.",,,
test-daily-009,test-daily-009:001,The footpath follows the river for about two kilometers.,"For approximately two kilometers, the footpath traverses alongside the river.",,,
test-product-012,test-product-012:031,The mirror can stand on a table or hang on a wall.,The mirror may be placed on a tabletop or hung from a wall.,,,
test-product-007,test-product-007:025,This ruler shows measurements in both centimeters and inches.,Ruler displays measurement values in centimeters and inches.,,,
test-product-008,test-product-008:000,The shelf includes the screws needed for assembly.,The shelf contains the necessary screws for assembly.,,,
test-daily-008,test-daily-008:009,I found an extra blanket in the cupboard upstairs.,"In the cupboard upstairs, I discovered an extra blanket.",,,
test-daily-002,test-daily-002:015,We decided to visit the museum after the rain stopped.,We decided to visit the museum once the rain had ceased.,,,
test-product-009,test-product-009:017,The camera bag has a padded divider in its main compartment.,"In the main compartment of the camera bag, there is a padded divider.",,,
test-product-012,test-product-012:015,The mirror can stand on a table or hang on a wall.,The mirror may be placed either on a table or hung from a wall.,,,
test-daily-009,test-daily-009:030,The footpath follows the river for about two kilometers.,The footpath runs alongside the river over approximately 2 km.,,,
test-product-003,test-product-003:009,The watch strap can be replaced without removing the battery.,"Without removing the battery, the watch strap can be changed.",,,
test-daily-012,test-daily-012:017,The children put their shoes on the rack by the door.,"By the door, the children placed their shoes on a rack.",,,
test-product-002,test-product-002:026,The cooking pot has measurement marks on the inside.,The cooking pot includes measurements marked on its interior surface.,,,
test-product-013,test-product-013:013,This rechargeable light has a battery indicator on the side.,A battery indicator shows up on this rechargeable light's side.,,,
test-product-009,test-product-009:010,The camera bag has a padded divider in its main compartment.,The camera bag includes a padded divider in its main compartment.,,,
test-daily-004,test-daily-004:025,The restaurant was quiet when we arrived in the early evening.,"In the early evening, the restaurant was quiet when we arrived there.",,,
test-product-007,test-product-007:017,This ruler shows measurements in both centimeters and inches.,Measurements are displayed on this ruler using two units: centimeters and inches.,,,
test-daily-014,test-daily-014:030,He returned the borrowed tool the following morning.,The man returned the borrowed tool in the early morning of the next day.,,,
test-product-003,test-product-003:007,The watch strap can be replaced without removing the battery.,The watch strap can be changed without taking out the battery.,,,
test-daily-011,test-daily-011:003,I charged my phone while I was reading on the sofa.,I used my phone charger while reading on the sofa.,,,
test-product-001,test-product-001:005,This speaker can play music from a memory card.,A memory card allows this speaker to play music.,,,
test-product-002,test-product-002:029,The cooking pot has measurement marks on the inside.,"On the inside of the cooking pot, there are measurement marks present.",,,
test-product-007,test-product-007:000,This ruler shows measurements in both centimeters and inches.,This ruler displays measurements using centimeters and inches.,,,
test-product-000,test-product-000:024,The suitcase has four wheels and an extendable handle.,The suitcase is equipped with four wheels and a telescopic handle.,,,
test-daily-000,test-daily-000:008,He put the groceries in the refrigerator before making lunch.,He placed groceries in the refrigerator prior to preparing lunch.,,,
test-daily-010,test-daily-010:014,They prepared the guest room before their relatives arrived.,They prepared the guest room ahead of time upon the arrival of their relatives.,,,
test-product-005,test-product-005:000,The fan comes with a remote control and a timer.,The fan includes both a remote control and a timer.,,,
test-product-011,test-product-011:029,The lunch box contains two removable containers.,Contains two removable containers in the lunch box.,,,
test-product-002,test-product-002:007,The cooking pot has measurement marks on the inside.,The cooking pot features markings for measuring inside.,,,
test-product-002,test-product-002:027,The cooking pot has measurement marks on the inside.,The cooking pot includes markings for measurements inside it.,,,
test-product-007,test-product-007:002,This ruler shows measurements in both centimeters and inches.,This ruler features dimensions expressed in both centimeters and inches.,,,
ood-science-016,ood-science-016:014,Condensation occurs when water vapor changes into liquid water.,Water vapor transforms to liquid water through condensation.,,,
ood-science-007,ood-science-007:008,A lens can change the direction of light passing through it.,A lens alters the path of light as it passes through it.,,,
ood-science-018,ood-science-018:024,The lungs exchange oxygen and carbon dioxide with the blood.,Lungs facilitate the interchange of oxygen and carbon dioxide within the bloodstream.,,,
ood-science-000,ood-science-000:025,Evaporation changes liquid water into water vapor.,Water vapor is formed by changing liquid water into evaporation.,,,
